Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	
1-Jan-2006	26	26	26	26	
 missing data row 2006-01-01 14:00:00
2-Jan-2006	23	24	23.5	0.400000005960464	
3-Jan-2006	22	25	23.5	10	
4-Jan-2006	22	26	24	0.400000005960464	
5-Jan-2006	22	27	24.5	0	
6-Jan-2006	22	28	25	0	
7-Jan-2006	23	28	25.5	0	
8-Jan-2006	23	28	25.5	1.20000004768372	
9-Jan-2006	23	27	25	0.600000023841858	
10-Jan-2006	24	27	25.5	37.2000007629395	
11-Jan-2006	22	24	23	46.4000015258789	
12-Jan-2006	23	27	25	13.1999998092651	
13-Jan-2006	23	25	24	56.0999984741211	
14-Jan-2006	23	24	23.5	17.2000007629395	
15-Jan-2006	22	28	25	1.79999995231628	
16-Jan-2006	23	25	24	49.4000015258789	
17-Jan-2006	22	26	24	10.6999998092651	
18-Jan-2006	22	26	24	0.600000023841858	
19-Jan-2006	23	26	24.5	0	
20-Jan-2006	23	26	24.5	47.7999992370605	
21-Jan-2006	22	27	24.5	24.7999992370605	
22-Jan-2006	22	26	24	1.20000004768372	
23-Jan-2006	22	26	24	20.3999996185303	
24-Jan-2006	23	26	24.5	15.1999998092651	
25-Jan-2006	23	25	24	14.3999996185303	
26-Jan-2006	22	25	23.5	13.1999998092651	
27-Jan-2006	23	27	25	0.600000023841858	
28-Jan-2006	23	27	25	20.3999996185303	
29-Jan-2006	23	28	25.5	0.300000011920929	
30-Jan-2006	23	29	26	0	
31-Jan-2006	24	24	24		
1-Feb-2006	29	29	29	18.3999996185303	
 missing data row 2006-02-01 14:00:00
2-Feb-2006	23	28	25.5	0.400000005960464	
3-Feb-2006	24	28	26	0.800000011920929	
4-Feb-2006	23	28	25.5	2.59999990463257	
5-Feb-2006	24	28	26	73.1999969482422	
6-Feb-2006	24	25	24.5	1.79999995231628	
7-Feb-2006	23	26	24.5	6.40000009536743	
8-Feb-2006	23	26	24.5	0.400000005960464	
9-Feb-2006	24	25	24.5	4.19999980926514	
10-Feb-2006	23	26	24.5	5.80000019073486	
11-Feb-2006	26	27	26.5		
12-Feb-2006	23	25	24	76	
13-Feb-2006	23	24	23.5	31.6000003814697	
14-Feb-2006	20	24	22	0.600000023841858	
15-Feb-2006	21	26	23.5	0	
16-Feb-2006	22	28	25	0.400000005960464	
17-Feb-2006	24	26	25	25	
18-Feb-2006	22	26	24	2.20000004768372	
19-Feb-2006	24	26	25	1	
20-Feb-2006	23	26	24.5	0.200000002980232	
