Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	
1-Aug-1984	20	28	24	0	
 missing data row 1984-08-01 04:00:00
2-Aug-1984	20	29	24.5	0	
3-Aug-1984	21	29	25	0	
4-Aug-1984	21	29	25	0	
5-Aug-1984	22	29.5	25.75	0	
6-Aug-1984	23	30	26.5	0	
7-Aug-1984	21.5	30	25.75	0	
8-Aug-1984	21.5	27	24.25	0	
9-Aug-1984	21.5	24.5	23	5.80000019073486	
10-Aug-1984	21	26.5	23.75	0.100000001490116	
11-Aug-1984	20	28.5	24.25	0	
12-Aug-1984	21	29.5	25.25	0	
13-Aug-1984	21.5	29	25.25	0	
14-Aug-1984	22.5	25	23.75	1	
15-Aug-1984	21	25.5	23.25	0.100000001490116	
16-Aug-1984	18	23	20.5	0	
17-Aug-1984	17	22	19.5	0	
18-Aug-1984	17.5	23	20.25	0.600000023841858	
19-Aug-1984	18.5	27	22.75	0	
20-Aug-1984	20.5	29.5	25	0	
21-Aug-1984	22	30	26	0	
22-Aug-1984	23	28	25.5	0	
23-Aug-1984	20.5	30	25.25	0	
24-Aug-1984	22.5	26	24.25	0.100000001490116	
25-Aug-1984	14.5	23	18.75	12.3999996185303	
26-Aug-1984	11	18.5	14.75	1.89999997615814	
27-Aug-1984	15	22	18.5	0	
28-Aug-1984	15	23.5	19.25	0	
29-Aug-1984	13.5	25.5	19.5	0	
30-Aug-1984	15	26	20.5	0	
1-Sep-1984	16.5	29.5	23	0	
 missing data row 1984-09-01 04:00:00
2-Sep-1984	17	30	23.5	0	
3-Sep-1984	20	31	25.5	0	
4-Sep-1984	21	28	24.5	1.39999997615814	
5-Sep-1984	20.5	30	25.25	0	
6-Sep-1984	20.5	30.5	25.5	0	
7-Sep-1984	22	30	26	0	
8-Sep-1984	20	27	23.5	19.8999996185303	
9-Sep-1984	20	27	23.5	0	
10-Sep-1984	21	29	25	0	
11-Sep-1984	22	30	26	0	
12-Sep-1984	22	30	26	0	
13-Sep-1984	22	27.5	24.75	3.79999995231628	
14-Sep-1984	21	30	25.5	0	
15-Sep-1984	29.5	29.5	29.5	0	
 missing data row 1984-09-15 14:00:00
16-Sep-1984	22	24	23	3.20000004768372	
17-Sep-1984	22	30	26	0	
18-Sep-1984	23	32	27.5	0.100000001490116	
19-Sep-1984	23	32	27.5	0	
20-Sep-1984	22	28.5	25.25	0	
21-Sep-1984	21	26	23.5	45	
23-Sep-1984	19.5	27.5	23.5	0	
 missing data row 1984-09-23 04:00:00
24-Sep-1984	20	30.5	25.25	0	
25-Sep-1984	20	30.5	25.25	0	
26-Sep-1984	20	30	25	0.100000001490116	
27-Sep-1984	20	30	25	22.3999996185303	
28-Sep-1984	16	21.5	18.75	0.600000023841858	
29-Sep-1984	18	25	21.5	0	
30-Sep-1984	18	28.5	23.25	0	
1-Oct-1984	21	31.5	26.25	0	
2-Oct-1984	21.5	31.5	26.5	0	
3-Oct-1984	23	31.5	27.25	0	
4-Oct-1984	22	27	24.5	12.1999998092651	
