01-Ago-2011,27.4,17,18.4,26.6,19.8,18,25.7,19,0,0,C,
02-Ago-2011,25.8,17,20,24.8,21.6,19.8,24,20.8,0,0,C,
03-Ago-2011,22.6,15.6,17.2,22,18.8,16.8,21.6,18.8,4.2,6.8,C,
04-Ago-2011,17,11.6,12.6,16.6,13,12.6,16,12.8,12,.9,C,
05-Ago-2011,26,11.4,13.2,25.6,21.8,12.8,24.8,20.6,0,0,C,
06-Ago-2011,26.4,12.8,17.6,25.8,20.8,17,24.6,20,0,0,C,
07-Ago-2011,29.5,15,17.4,27.6,22.9,16.8,25.8,22.6,0,0,C,
08-Ago-2011,29,17.3,19.4,27,23.2,18,25.2,22.6,0,0,C,
09-Ago-2011,28.5,17.8,19.4,26.8,20.4,19.6,25.4,20.2,0,1,C,
10-Ago-2011,30.2,15.2,18.4,29.6,23.4,18,28.8,23.2,0,0,C,
11-Ago-2011,29.8,17.8,19.2,28.2,22.8,18.4,27,22,20.2,4.1,C,
12-Ago-2011,29.4,17.7,18.8,28.2,22.2,18.2,27,21.4,.5,0,NE,2
13-Ago-2011,30.2,17,19.8,28.8,23.6,19.6,27,22.8,0,0,C,
14-Ago-2011,29.4,17.6,19.6,28.8,21.8,19,28.6,20.6,0,.5,C,
15-Ago-2011,27.8,16.4,18,26.8,18.2,17.4,25.6,18,5.8,0,C,
16-Ago-2011,30,14,19.8,29.2,21.6,19,27.4,21,0,0,C,
17-Ago-2011,28.5,13.4,18.8,27.2,23,18.2,25.8,21.8,0,0,C,
18-Ago-2011,29,17.4,19,28.2,22.4,18.8,27.4,21.6,0,0,C,
19-Ago-2011,27.8,17.6,19.6,26.4,21.6,19,25,20.8,0,0,C,
20-Ago-2011,23.4,19,20.4,22.2,22,19.6,21,21.4,0,28.6,C,
21-Ago-2011,19,10,10.6,18.8,16,10.6,18.8,16,1.6,.9,C,
22-Ago-2011,19,9.6,12.8,17.8,18.8,11.6,17.8,18.8,0,6.7,C,
23-Ago-2011,18.5,11.4,12.4,17.6,18,12,17,18,.8,0,C,
24-Ago-2011,25,11.8,14.6,23.6,19,14,23,18.8,0,0,C,
25-Ago-2011,27.8,13.8,17.8,26.6,19.5,17,25.4,19,0,0,C,
26-Ago-2011,28.2,18,19.8,27,21,19,26.4,20.6,0,0,C,
27-Ago-2011,29.2,16,18.6,28.4,22.4,18,27.8,21.6,7,0,C,
28-Ago-2011,31.2,17.6,19.8,29.4,24.2,19,28,22.6,0,0,C,
29-Ago-2011,30.5,17.6,21,29,23.8,20.2,27.8,21.8,1.5,0,C,
