30-Mar-2016,23.98,24.8,23.1,84.25,0,-999,.43,64
31-Mar-2016,24.45,29.6,21.1,89.33,31.4,-999,1.05,157
01-Abr-2016,25.77,32,21.5,82.42,0,-999,1.44,151
02-Abr-2016,24.88,30.4,22.1,88.58,18.5,-999,1.25,155
03-Abr-2016,24.88,28.7,21.9,91.92,4,-999,1.09,2
04-Abr-2016,24.31,27.8,22.2,95.25,15.4,-999,1.03,132
05-Abr-2016,24.57,29.2,21.9,93.33,8.7,-999,1.14,4
06-Abr-2016,24.83,29.6,22.1,90.21,3.5,-999,1.47,141
07-Abr-2016,25.33,31.1,21.5,86.63,2,-999,1.25,144
08-Abr-2016,26.32,31.5,23,85.5,1.8,-999,1.12,1
09-Abr-2016,26,29.7,23,89.13,1.7,-999,1,43
10-Abr-2016,26.5,32.3,22.2,86.5,1.4,-999,1.36,165
11-Abr-2016,24.29,27.2,22.3,92.17,1.3,-999,.99,5
12-Abr-2016,24.1,29.1,21.8,92.58,1.2,-999,.73,6
13-Abr-2016,23.38,28,21.4,94.54,2.7,-999,.8,177
14-Abr-2016,25.08,30.6,20.9,88.33,4,-999,1.23,143
15-Abr-2016,23.7,27.2,21.9,93.71,3.6,-999,.72,162
16-Abr-2016,24.78,30.1,21.1,92.38,2.4,-999,.98,145
17-Abr-2016,25.68,30.9,23.3,90.42,2.2,-999,.92,12
18-Abr-2016,25.42,31.2,21.2,87.25,1.6,-999,1.35,19
19-Abr-2016,26.27,31.4,22.7,85,1.6,-999,1.4,125
20-Abr-2016,23.4,29.4,21.2,91.58,2.9,-999,1.35,191
21-Abr-2016,24.3,29.3,20.8,90.5,6.2,-999,1.19,76
22-Abr-2016,24.6,30.3,21.8,89.21,6.9,-999,.96,277
23-Abr-2016,25.49,29.5,22.4,88.38,5.4,-999,.94,16
24-Abr-2016,26.08,29.4,23.5,90.46,2.8,-999,.9,35
25-Abr-2016,26.38,30.7,23.4,89.58,1.4,-999,.79,170
26-Abr-2016,26.32,30.5,24.1,91.63,1.1,-999,.69,19
27-Abr-2016,17.06,24.6,14.6,95.08,1.9,-999,1.43,340
28-Abr-2016,15.79,16.1,15,97.56,.3,-999,.66,3
15-May-2016,24.3,24.3,24.3,89,0,-999,1.6,346
16-May-2016,25.23,29.8,22.1,90.38,.9,-999,.85,8
17-May-2016,21.84,23.7,19.6,96.67,.2,-999,.86,127
18-May-2016,20.27,22.6,19.1,99.08,5.5,-999,.76,331
19-May-2016,20.18,22,19.3,99.94,.7,-999,.83,21
19-Ago-2016,23.8,30.6,21,82.33,7.7,-999,.98,122
20-Ago-2016,-125.09,20.8,-999,-64.43,-999,-999,-142.54,8
22-Ago-2016,18.02,23.4,15.5,87,2.6,-999,.97,116
23-Ago-2016,19.54,27.5,14.4,84.32,0,-999,1.31,28
24-Ago-2016,-23.76,28.3,-999,30.23,-999,-999,-44.56,3
25-Ago-2016,24.06,29.5,20.3,83.63,0,-999,.94,1
26-Ago-2016,24.83,31,21,78.79,0,-999,1.72,134
27-Ago-2016,25.27,31.9,21,76.33,.1,-999,1.7,125
28-Ago-2016,24.51,30.4,20.8,80.92,0,-999,1.35,7
29-Ago-2016,25.19,31.2,21.7,79.88,18.6,-999,1.38,132
30-Ago-2016,18.78,22.6,15.6,92.86,99,-999,1.45,3
31-Ago-2016,19.65,25.4,16,90.67,.1,-999,.81,90
01-Sep-2016,21.27,28.1,17.2,84.05,0,-999,1.32,141
02-Sep-2016,23.52,29.4,20.3,81.54,3.7,-999,1.45,127
03-Sep-2016,22.21,27.5,18.4,86.67,26.5,-999,1.74,359
04-Sep-2016,16.77,18,14.9,94.08,6.4,-999,1.11,318
05-Sep-2016,15.39,17.2,14.8,96.43,1.8,-999,.64,299
06-Sep-2016,17.43,20.2,15.2,93.87,0,-999,.63,7
07-Sep-2016,18.64,20.9,17.4,90.11,0,-999,.79,1
08-Sep-2016,19.26,20.9,17.7,89.56,0,-999,.94,122
09-Sep-2016,20.17,26.7,17.7,91.15,0,-999,1.75,134
13-Sep-2016,22.33,23.5,21.3,77.67,0,-999,1.68,139
14-Sep-2016,23.29,26.4,22,87.8,0,-999,1.66,137
19-Sep-2016,22.27,30,19,80.05,38.8,-999,.95,30
20-Sep-2016,20.73,23.1,19.5,87.13,2,-999,.96,124
21-Sep-2016,23.44,29.2,20.2,84.16,0,-999,1.13,3
22-Sep-2016,25.25,31.8,20.4,75.13,0,-999,1.55,146
23-Sep-2016,25.08,31.6,22.4,79.62,0,-999,1.73,124
26-Sep-2016,22.31,26.5,20.4,91.08,0,-999,1.22,128
27-Sep-2016,21.12,21.7,20.6,92.2,11.2,-999,.5,158
28-Sep-2016,25.93,29.1,23.7,81.5,0,-999,1.55,132
29-Sep-2016,25.6,32.9,21.3,74.3,0,-999,1.7,137
30-Sep-2016,26.23,32.1,23.6,74.95,0,-999,1.61,140
01-Oct-2016,23.95,28.3,21.2,86.21,62.1,-999,1.34,3
02-Oct-2016,22.92,27.8,21.1,90.71,15.1,-999,.84,9
03-Oct-2016,21.83,23.6,21.1,93.44,0,-999,1.62,131
04-Oct-2016,23.7,29.7,21.7,87.72,1.3,-999,.92,11
